City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,12.79,63,100,1.79,NZ,1731958536
1,college,64.8569,-147.8028,-21.03,77,75,0.0,US,1731958538
2,talnakh,69.4865,88.3972,-8.56,96,100,0.94,RU,1731958539
3,thompson,55.7435,-97.8558,0.09,93,100,1.03,CA,1731958540
4,edinburgh of the seven seas,-37.0676,-12.3116,14.14,74,12,8.43,SH,1731958541
5,acapulco de juarez,16.8634,-99.8901,29.9,66,100,3.09,MX,1731958542
6,hobyo,5.3505,48.5268,26.8,80,59,5.57,SO,1731958543
7,waitangi,-43.9535,-176.5597,13.23,83,45,4.92,NZ,1731958544
8,blackmans bay,-43.0167,147.3167,6.96,77,8,1.54,AU,1731958546
9,isafjordur,66.0755,-23.124,-6.58,69,100,8.12,IS,1731958547
10,ola,59.5833,151.2833,-3.55,82,100,4.95,RU,1731958548
11,port-aux-francais,-49.35,70.2167,3.97,73,65,12.66,TF,1731958549
12,hadibu,12.65,54.0333,25.66,74,100,4.77,YE,1731958550
13,albany,42.6001,-73.9662,13.21,53,4,2.24,US,1731958551
14,puerto baquerizo moreno,-0.9,-89.6,26.55,50,20,6.17,EC,1731958552
15,mokhsogollokh,61.4681,128.9203,-20.22,99,100,1.41,RU,1731958554
16,ilulissat,69.2167,-51.1,-6.99,38,0,1.03,GL,1731958555
17,ushuaia,-54.8,-68.3,13.81,47,0,3.6,AR,1731958556
18,gadzhiyevo,69.2551,33.3362,1.24,74,100,6.07,RU,1731958557
19,bilibino,68.0546,166.4372,-18.11,93,100,2.02,RU,1731958558
20,anavyssos,37.7333,23.95,15.02,75,0,1.27,GR,1731958559
21,dunedin,-45.8742,170.5036,14.89,85,92,0.45,NZ,1731958560
22,lihue,21.9789,-159.3672,23.77,83,100,8.23,US,1731958561
23,ribeira grande,38.5167,-28.7,18.22,82,75,4.92,PT,1731958563
24,puerto natales,-51.7236,-72.4875,15.25,51,40,5.66,CL,1731958564
25,adamstown,-25.066,-130.1015,22.78,82,100,9.13,PN,1731958565
26,ormara,25.2088,64.6357,26.73,62,0,4.58,PK,1731958566
27,tera,14.0078,0.7531,26.13,13,31,4.71,NE,1731958567
28,ancud,-41.8697,-73.8203,16.75,53,10,2.68,CL,1731958568
29,bethel,41.3712,-73.414,17.44,44,0,4.12,US,1731958569
30,papatowai,-46.5619,169.4708,15.87,46,63,0.52,NZ,1731958571
31,eleskirt,39.8033,42.6736,1.91,95,100,1.5,TR,1731958572
32,hermanus,-34.4187,19.2345,18.78,78,81,3.94,ZA,1731958573
33,atafu village,-8.5421,-172.5159,28.76,66,3,7.82,TK,1731958574
34,zakamensk,50.3741,103.2863,-10.37,81,3,1.54,RU,1731958575
35,iqaluit,63.7506,-68.5145,-8.15,62,20,5.66,CA,1731958576
36,augusto correa,-1.0217,-46.635,27.89,72,54,2.99,BR,1731958577
37,bryne,58.7354,5.6477,1.55,81,20,4.12,NO,1731958579
38,kavieng,-2.5744,150.7967,28.11,70,97,4.29,PG,1731958580
39,anadyr,64.75,177.4833,-4.44,85,100,13.0,RU,1731958581
40,general cabrera,-32.8131,-63.8724,25.51,23,6,3.88,AR,1731958582
41,antsiranana,-12.2787,49.2917,24.99,76,48,6.39,MG,1731958583
42,guerrero negro,27.9769,-114.0611,18.17,52,0,6.94,MX,1731958584
43,bredasdorp,-34.5322,20.0403,17.82,73,90,3.06,ZA,1731958585
44,vanimo,-2.6741,141.3028,25.72,87,100,0.6,PG,1731958586
45,kenora,49.8167,-94.4337,7.54,70,75,4.63,CA,1731958588
46,el calafate,-50.3408,-72.2768,12.48,50,72,2.42,AR,1731958589
47,kapuskasing,49.4169,-82.4331,6.0,87,100,3.09,CA,1731958590
48,wailua homesteads,22.0669,-159.378,23.96,83,100,8.23,US,1731958591
49,tiksi,71.6872,128.8694,-29.85,100,85,1.35,RU,1731958592
50,burang,30.25,81.1667,-3.55,26,0,1.97,CN,1731958593
51,revda,56.801,59.9303,0.87,91,100,5.47,RU,1731958594
52,belyy yar,53.6039,91.3903,2.94,52,0,6.0,RU,1731958596
53,jiayuguan,39.8167,98.3,-0.16,33,12,1.83,CN,1731958597
54,inarajan village,13.2736,144.7484,26.02,89,14,7.06,GU,1731958598
55,vila velha,-20.3297,-40.2925,26.64,81,75,6.17,BR,1731958599
56,port elizabeth,-33.918,25.5701,19.62,96,75,3.6,ZA,1731958600
57,ar ruways,24.1103,52.7306,23.85,60,0,3.01,AE,1731958601
58,qinzhou,21.95,108.6167,19.24,59,33,4.06,CN,1731958602
59,margaret river,-33.95,115.0667,15.18,78,96,4.85,AU,1731958604
60,mocimboa,-11.3167,40.35,25.55,85,58,2.41,MZ,1731958605
61,hamilton,39.1834,-84.5333,18.47,77,0,3.09,US,1731958193
62,zakynthos,37.7914,20.8953,16.84,64,1,3.36,GR,1731958607
63,buka,40.8108,69.1986,11.16,49,100,2.75,UZ,1731958608
64,callao,-12.0667,-77.15,22.16,68,75,5.66,PE,1731958609
65,tra vinh,9.9347,106.3453,24.49,90,71,1.85,VN,1731958610
66,hawaiian paradise park,19.5933,-154.9731,23.83,85,40,0.45,US,1731958612
67,kill devil hills,36.0307,-75.676,17.18,72,0,2.57,US,1731958613
68,jamestown,42.097,-79.2353,13.9,53,0,5.66,US,1731958575
69,yuzhno-kurilsk,44.0306,145.8556,0.18,58,100,9.58,RU,1731958615
70,strezhevoy,60.7333,77.5889,0.11,98,100,4.89,RU,1731958616
71,sijunjung,-0.6876,100.9537,22.67,99,100,0.49,ID,1731958617
72,klyuchi,52.2667,79.1667,-5.53,88,85,3.32,RU,1731958618
73,mammoth lakes,37.6485,-118.9721,1.78,43,0,6.69,US,1731958620
74,crane,31.3974,-102.3501,18.59,28,0,12.12,US,1731958621
75,grytviken,-54.2811,-36.5092,0.3,76,19,4.41,GS,1731958622
76,vilyuchinsk,52.9306,158.4028,3.15,91,100,4.39,RU,1731958623
77,richards bay,-28.783,32.0377,24.15,86,46,5.48,ZA,1731958624
78,coquimbo,-29.9533,-71.3436,18.88,55,75,5.66,CL,1731958625
79,manokwari,-0.8667,134.0833,25.83,74,96,1.34,ID,1731958626
80,sungai raya,0.7,108.9,25.5,89,100,1.46,ID,1731958628
81,keflavik,64.0049,-22.5624,-3.76,63,75,8.75,IS,1731958629
